,artists,album_name,track_name,popularity,explicit,danceability,energy,valence,duration_min,valence_category,cat_danceability,year,category,nominee,artist,winner
0,Eminem,The Marshall Mathers LP,The Real Slim Shady,87,True,0.949,0.661,0.76,4.7366666667,Positivo,Alta,2000,Best Rap Solo Performance,The Real Slim Shady,Eminem,True
1,Dr. Dre;Eminem,2001,Forgot About Dre,80,True,0.924,0.74,0.621,3.7048833333,Positivo,Alta,2000,Best Rap Performance By A Duo Or Group,Forgot About Dre,Dr. Dre Featuring Eminem,True
2,Offset;Cardi B,GANG GANG - HIP HOP & RAP,Clout,3,True,0.919,0.622,0.423,3.43005,Neutro,Alta,2019,Best Rap Performance,Clout,Offset Featuring Cardi B,True
3,Jor'dan Armstrong,Blsd (Deluxe),Clout,25,False,0.699,0.62,0.311,3.6279,Negativo,Alta,2019,Best Rap Performance,Clout,Offset Featuring Cardi B,True
4,Armando,One World One Future,Sweet Love,13,False,0.916,0.397,0.707,5.2271,Positivo,Alta,1986,Best Rhythm & Blues Song,Sweet Love,,True
5,John Lindberg Trio,Straight from the Heart,Sweet Love,21,False,0.623,0.805,0.773,2.4104833333,Positivo,Alta,1986,Best Rhythm & Blues Song,Sweet Love,,True
6,Phillip LaRue,You,Sweet Love,46,False,0.547,0.328,0.186,4.4643666667,Negativo,Media,1986,Best Rhythm & Blues Song,Sweet Love,,True
7,The Jamborees,The Wheels On the Bus,The Music Man,16,False,0.916,0.547,0.973,4.5128833333,Positivo,Alta,1958,Best Original Cast Album (Broadway Or TV),The Music Man,,True
8,Upchurch,King of Dixie,Legend,44,True,0.909,0.77,0.757,3.6977666667,Positivo,Alta,2003,Best Long Form Music Video,Legend,(Sam Cooke),True
9,Rustage;Shwabadi;Connor Quest!,Legend,Legend,38,False,0.771,0.959,0.633,3.4135333333,Positivo,Alta,2003,Best Long Form Music Video,Legend,(Sam Cooke),True
10,Sidhu Moose Wala,Legend,Legend,62,False,0.754,0.845,0.793,4.6437,Positivo,Alta,2003,Best Long Form Music Video,Legend,(Sam Cooke),True
11,The Score,ATLAS,Legend,71,False,0.601,0.757,0.462,3.152,Neutro,Alta,2003,Best Long Form Music Video,Legend,(Sam Cooke),True
12,Eminem,The Eminem Show,Without Me,88,True,0.908,0.669,0.662,4.8386666667,Positivo,Alta,2002,Best Short Form Music Video,Without Me,Eminem,True
13,Halsey,Without Me,Without Me,78,True,0.752,0.488,0.533,3.361,Neutro,Alta,2002,Best Short Form Music Video,Without Me,Eminem,True
14,Halsey;Juice WRLD,Manic,Without Me,62,True,0.744,0.514,0.449,3.81585,Neutro,Alta,2002,Best Short Form Music Video,Without Me,Eminem,True
15,Brandon Chase,Without Me,Without Me,47,False,0.664,0.301,0.268,3.3703166667,Negativo,Alta,2002,Best Short Form Music Video,Without Me,Eminem,True
16,NACION,Without Me,Without Me,26,False,0.492,0.978,0.208,2.82095,Negativo,Media,2002,Best Short Form Music Video,Without Me,Eminem,True
17,Dayseeker,Without Me,Without Me,63,False,0.421,0.819,0.162,3.73,Negativo,Media,2002,Best Short Form Music Video,Without Me,Eminem,True
18,Kendrick Lamar,DAMN.,HUMBLE.,84,True,0.908,0.621,0.421,2.95,Neutro,Alta,2017,Best Rap Performance,HUMBLE.,Kendrick Lamar,True
19,Kendrick Lamar,DAMN.,HUMBLE.,84,True,0.908,0.621,0.421,2.95,Neutro,Alta,2017,Best Rap Song,HUMBLE.,,True
20,Kendrick Lamar,DAMN.,HUMBLE.,84,True,0.908,0.621,0.421,2.95,Neutro,Alta,2017,Best Music Video,HUMBLE.,Kendrick Lamar,True
21,Our Last Night,HUMBLE.,HUMBLE.,52,True,0.539,0.903,0.445,3.2594333333,Neutro,Media,2017,Best Rap Performance,HUMBLE.,Kendrick Lamar,True
22,Our Last Night,HUMBLE.,HUMBLE.,52,True,0.539,0.903,0.445,3.2594333333,Neutro,Media,2017,Best Rap Song,HUMBLE.,,True
23,Our Last Night,HUMBLE.,HUMBLE.,52,True,0.539,0.903,0.445,3.2594333333,Neutro,Media,2017,Best Music Video,HUMBLE.,Kendrick Lamar,True
24,Lil Nas X,7 EP,Old Town Road,77,False,0.907,0.53,0.507,1.8833333333,Neutro,Alta,2019,Record Of The Year,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,True
25,Lil Nas X,7 EP,Old Town Road,77,False,0.907,0.53,0.507,1.8833333333,Neutro,Alta,2019,Best Pop Duo/Group Performance,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,True
26,Mini Pop Kids,Mini Pop Kids 6,Poker Face,8,False,0.907,0.878,0.821,3.9693333333,Positivo,Alta,2009,Best Dance Recording,Poker Face,Lady Gaga,True
27,Lady Gaga,Best Of Karneval,Poker Face,0,False,0.851,0.818,0.808,3.9817666667,Positivo,Alta,2009,Best Dance Recording,Poker Face,Lady Gaga,True
28,Cha Cha Slide DJ's,CHA CHA SLIDE DANCE PARTY,Who Let The Dogs Out,7,False,0.899,0.674,0.79,3.24825,Positivo,Alta,2000,Best Dance Recording,Who Let The Dogs Out,Baha Men,True
29,Lil Baby;Gunna,Bad Boy Club,Drip Too Hard,0,True,0.897,0.662,0.39,2.4257,Negativo,Alta,2019,Best Rap/Sung Performance,Drip Too Hard,Lil Baby & Gunna,True
30,Westside Connection,Bow Down,Bow Down,55,True,0.892,0.455,0.473,3.4488833333,Neutro,Alta,2019,Best Metal Performance,Bow Down,I Prevail,True
31,I Prevail,TRAUMA,Bow Down,65,True,0.426,0.959,0.372,4.0446666667,Negativo,Media,2019,Best Metal Performance,Bow Down,I Prevail,True
32,Ollie,Without You,Without You,50,True,0.891,0.434,0.543,2.2832833333,Neutro,Alta,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
33,Mike Williams;Felix Jaehn;Jordan Shaw,pov: it's 2021,Without You,0,False,0.722,0.871,0.509,2.5161166667,Neutro,Alta,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
34,Embody;Jack Hawitt,Lost & Found EP,Without You,50,False,0.694,0.696,0.614,3.0,Positivo,Alta,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
35,Deekline;Project 5,Without You,Without You,10,False,0.685,0.849,0.922,3.392,Positivo,Alta,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
36,高爾宣 OSN,#osnrap,Without You,63,False,0.669,0.698,0.286,2.925,Negativo,Alta,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
37,Avicii;Sandro Cavazza,Sunny Mornings,Without You,0,True,0.663,0.857,0.294,3.0278666667,Negativo,Alta,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
38,John De Sohn;Rasmus Hagen,Without You,Without You,59,False,0.643,0.745,0.461,3.04355,Neutro,Alta,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
39,Promoting Sounds;7ru7h,Without You,Without You,46,True,0.639,0.66,0.219,2.74285,Negativo,Alta,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
40,SLANDER;Kayzo;Dylan Matthew,Without You,Without You,46,False,0.595,0.712,0.615,3.7647,Positivo,Media,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
41,Parachute,Wide Awake,Without You,61,False,0.564,0.864,0.534,3.81555,Neutro,Media,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
42,Salty Snacks,Without You,Without You,38,False,0.551,0.161,0.356,2.9872666667,Negativo,Media,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
43,Finding Hope;Holly Drummond,Without You,Without You,43,False,0.477,0.243,0.0997,3.7568333333,Negativo,Media,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
44,Glee Cast,"Glee: The Music, The Complete Season Three",Without You,46,False,0.467,0.749,0.0975,3.5097666667,Negativo,Media,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
45,Refuzion,Without You,Without You,46,False,0.457,0.812,0.37,2.9528166667,Negativo,Media,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
46,Hinder,Take It To The Limit,Without You,57,False,0.415,0.816,0.264,3.8711,Negativo,Media,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
47,My Darkest Days,My Darkest Days (Deluxe Edition),Without You,46,False,0.399,0.739,0.337,4.3822166667,Negativo,Baja,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
48,Teenage Bottlerocket,They Came From The Shadows,Without You,23,False,0.334,0.992,0.696,2.1831,Positivo,Baja,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
49,for KING & COUNTRY;Courtney,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),Without You,44,False,0.327,0.269,0.0857,4.8782166667,Negativo,Baja,1972,"Best Pop Vocal Performance, Male",Without You,Harry Nilsson,True
50,Otnicka,Babel,Babel,60,False,0.883,0.366,0.397,3.3160333333,Negativo,Alta,2012,Album Of The Year,Babel,Mumford & Sons,True
51,SadBoyProlific;Ivri,Alone,Alone,68,True,0.874,0.358,0.437,2.6676833333,Neutro,Alta,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
52,Neo Fresco,Alone,Alone,16,False,0.829,0.819,0.0773,4.9818166667,Negativo,Alta,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
53,Tale Of Us,Unity,Alone,38,False,0.802,0.556,0.0371,5.5594833333,Negativo,Alta,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
54,Lund,Gold,Alone,54,True,0.741,0.354,0.037,4.2333333333,Negativo,Alta,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
55,Furkan Sert;Elnur Mikayilov,Alone,Alone,49,False,0.74,0.535,0.229,3.7537666667,Negativo,Alta,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
56,Alan Walker,Alone,Alone,63,False,0.676,0.929,0.157,2.6866666667,Negativo,Alta,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
57,Yutaka Yamada,TVアニメ『東京喰種』ORIGINAL SOUNDTRACK,Alone,45,False,0.661,0.378,0.146,4.498,Negativo,Alta,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
58,Bee Gees,Still Waters,Alone,59,False,0.639,0.792,0.748,4.8344333333,Positivo,Alta,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
59,Marshmello,Alone,Alone,73,False,0.631,0.953,0.422,4.5633666667,Neutro,Alta,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
60,The Gathering,Home,Alone,22,False,0.549,0.706,0.136,4.9453333333,Negativo,Media,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
61,Z.TAO,Z.TAO,Alone,27,False,0.547,0.777,0.595,3.5831333333,Neutro,Media,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
62,I Prevail,Lifelines,Alone,58,False,0.539,0.746,0.287,3.6833333333,Negativo,Media,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
63,Kato,Naruto Vibes,Alone,43,False,0.523,0.617,0.0868,1.697,Negativo,Media,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
64,Jon Caryl,Alone,Alone,51,False,0.507,0.402,0.18,3.16425,Negativo,Media,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
65,Sevendust,Blood & Stone,Alone,25,False,0.464,0.861,0.578,3.6291166667,Neutro,Media,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
66,Heart,Bad Animals,Alone,75,False,0.418,0.452,0.168,3.64555,Negativo,Media,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
67,Grafix;Ruth Royall,Forza Horizon 5: Hospital Soundtrack,Alone,31,False,0.416,0.973,0.31,4.2203333333,Negativo,Media,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
68,JUNNY,The Witch's Diner (Original Television Soundtrack) Pt.2,Alone,43,False,0.4,0.286,0.174,3.7826666667,Negativo,Baja,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
69,Bullet For My Valentine,Fever,Alone,51,False,0.321,0.97,0.08,5.938,Negativo,Baja,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
70,Downface,Confidence,Alone,49,False,0.171,0.68,0.153,3.88555,Negativo,Baja,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
71,Arcturus,La Masquerade Infernale,Alone,18,False,0.163,0.898,0.286,4.7084333333,Negativo,Baja,1970,Best Jazz Performance - Small Group Or Soloist With Small Group,Alone,Bill Evans,True
72,NJ,Wish Hope Fly,Fly,36,False,0.871,0.816,0.384,4.1,Negativo,Alta,1999,Best Country Album,Fly,Dixie Chicks,True
73,2 Brothers On The 4th Floor,The Very Best of 2 Brothers on the 4th Floor (25th Anniversary Edition),Fly,18,False,0.696,0.898,0.754,3.47045,Positivo,Alta,1999,Best Country Album,Fly,Dixie Chicks,True
74,Prabh Deep,Fly,Fly,32,False,0.677,0.265,0.493,4.043,Neutro,Alta,1999,Best Country Album,Fly,Dixie Chicks,True
75,Marshmello;Leah Culver,Fly,Fly,59,False,0.63,0.9,0.155,3.2296166667,Negativo,Alta,1999,Best Country Album,Fly,Dixie Chicks,True
76,Jim Brickman,Soothe: Music To Quiet Your Mind & Soothe Your World (Vol. 1),Fly,23,False,0.343,0.1,0.133,5.6919833333,Negativo,Baja,1999,Best Country Album,Fly,Dixie Chicks,True
77,Jason Upton,Remember,Fly,41,False,0.237,0.161,0.0812,12.9644333333,Negativo,Baja,1999,Best Country Album,Fly,Dixie Chicks,True
78,Ludovico Einaudi,Divenire,Fly,59,False,0.174,0.178,0.0347,4.6488833333,Negativo,Baja,1999,Best Country Album,Fly,Dixie Chicks,True
79,Oliver Heldens;Anabel Englund,Deja Vu,Deja Vu,59,False,0.87,0.532,0.358,3.3117166667,Negativo,Alta,1979,"Best R&B Vocal Performance, Female",Deja Vu,Dionne Warwick,True
80,ATEEZ,ZERO : FEVER Part.3,Deja Vu,69,False,0.692,0.835,0.566,3.2778333333,Neutro,Alta,1979,"Best R&B Vocal Performance, Female",Deja Vu,Dionne Warwick,True
81,Bullet Bane,BLLT,Deja Vu,29,False,0.556,0.869,0.668,3.1015166667,Positivo,Media,1979,"Best R&B Vocal Performance, Female",Deja Vu,Dionne Warwick,True
82,Larry Heard,Love's Arrival,Deja Vu,13,False,0.545,0.691,0.103,7.0715666667,Negativo,Media,1979,"Best R&B Vocal Performance, Female",Deja Vu,Dionne Warwick,True
83,Shaggy,Boombastic,Boombastic,70,False,0.867,0.538,0.781,4.16555,Positivo,Alta,1995,Best Reggae Album,Boombastic,Shaggy,True
84,Blackstreet;Dr. Dre;Queen Pen,Another Level,No Diggity,77,False,0.867,0.646,0.67,5.0766666667,Positivo,Alta,1997,Best R&B Performance By A Duo Or Group With Vocal,No Diggity,Blackstreet,True
85,Bad Boy Bill,The Album,Rockit,22,False,0.866,0.574,0.602,2.5942166667,Positivo,Alta,1983,Best R&B Instrumental Performance,Rockit,Herbie Hancock,True
86,MOTi,No Scrubs,No Scrubs,62,False,0.864,0.757,0.554,2.8032666667,Neutro,Alta,1999,Best R&B Performance By A Duo Or Group With Vocal,No Scrubs,TLC,True
87,MOTi,No Scrubs,No Scrubs,62,False,0.864,0.757,0.554,2.8032666667,Neutro,Alta,1999,Best Rhythm & Blues Song,No Scrubs,,True
88,Joshwa;Lee Foss,My Humps,My Humps,67,False,0.862,0.79,0.587,3.1020666667,Neutro,Alta,2006,Best Pop Performance By A Duo Or Group With Vocal,My Humps,The Black Eyed Peas,True
89,Black Eyed Peas,OO's Music Grandi Successi,My Humps,4,False,0.802,0.682,0.586,5.4493333333,Neutro,Alta,2006,Best Pop Performance By A Duo Or Group With Vocal,My Humps,The Black Eyed Peas,True
90,Cameron's Bedtime Classics,Lullabies and Magic,Breathe,18,False,0.861,0.0708,0.27,3.5526166667,Negativo,Alta,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
91,Cameron's Bedtime Classics,Lullabies and Magic,Breathe,18,False,0.861,0.0708,0.27,3.5526166667,Negativo,Alta,2000,Best Country Album,Breathe,Faith Hill,True
92,Catie Turner,Give You Love - Cozy Hits,Breathe,0,True,0.758,0.664,0.308,2.6311166667,Negativo,Alta,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
93,Catie Turner,Give You Love - Cozy Hits,Breathe,0,True,0.758,0.664,0.308,2.6311166667,Negativo,Alta,2000,Best Country Album,Breathe,Faith Hill,True
94,Télépopmusik;Angela McCluskey,Genetic World,Breathe,63,False,0.684,0.684,0.616,4.704,Positivo,Alta,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
95,Télépopmusik;Angela McCluskey,Genetic World,Breathe,63,False,0.684,0.684,0.616,4.704,Positivo,Alta,2000,Best Country Album,Breathe,Faith Hill,True
96,The Prodigy,The Fat of the Land,Breathe,66,False,0.673,0.808,0.303,5.6046666667,Negativo,Alta,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
97,The Prodigy,The Fat of the Land,Breathe,66,False,0.673,0.808,0.303,5.6046666667,Negativo,Alta,2000,Best Country Album,Breathe,Faith Hill,True
98,FOVOS,Breathe,Breathe,43,False,0.669,0.927,0.547,3.1111,Neutro,Alta,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
99,FOVOS,Breathe,Breathe,43,False,0.669,0.927,0.547,3.1111,Neutro,Alta,2000,Best Country Album,Breathe,Faith Hill,True
100,Murdock;Goldi Phone Home,Stronger,Breathe,17,False,0.643,0.924,0.107,4.1271666667,Negativo,Alta,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
101,Murdock;Goldi Phone Home,Stronger,Breathe,17,False,0.643,0.924,0.107,4.1271666667,Negativo,Alta,2000,Best Country Album,Breathe,Faith Hill,True
102,Lonely in the Rain,Breathe,Breathe,54,False,0.625,0.496,0.0352,2.7168333333,Negativo,Alta,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
103,Lonely in the Rain,Breathe,Breathe,54,False,0.625,0.496,0.0352,2.7168333333,Negativo,Alta,2000,Best Country Album,Breathe,Faith Hill,True
104,CamelPhat;Cristoph;Jem Cooke,Breathe,Breathe,62,False,0.595,0.877,0.081,3.2372,Negativo,Media,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
105,CamelPhat;Cristoph;Jem Cooke,Breathe,Breathe,62,False,0.595,0.877,0.081,3.2372,Negativo,Media,2000,Best Country Album,Breathe,Faith Hill,True
106,ZABO,Breathe,Breathe,55,False,0.561,0.547,0.202,3.32,Negativo,Media,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
107,ZABO,Breathe,Breathe,55,False,0.561,0.547,0.202,3.32,Negativo,Media,2000,Best Country Album,Breathe,Faith Hill,True
108,Laura Osnes;Geoff Packard;Corey Cott;Alex Bender;Brandon J. Ellis;Joe Carroll;James Nathan Hopkins,Bandstand (Original Broadway Cast Recording),Breathe,20,False,0.547,0.409,0.448,2.3308833333,Neutro,Media,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
109,Laura Osnes;Geoff Packard;Corey Cott;Alex Bender;Brandon J. Ellis;Joe Carroll;James Nathan Hopkins,Bandstand (Original Broadway Cast Recording),Breathe,20,False,0.547,0.409,0.448,2.3308833333,Neutro,Media,2000,Best Country Album,Breathe,Faith Hill,True
110,Faith Hill,Breathe,Breathe,67,False,0.529,0.496,0.278,4.1757666667,Negativo,Media,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
111,Faith Hill,Breathe,Breathe,67,False,0.529,0.496,0.278,4.1757666667,Negativo,Media,2000,Best Country Album,Breathe,Faith Hill,True
112,Gareth Emery;Annabel,Breathe,Breathe,50,False,0.507,0.513,0.216,3.2926833333,Negativo,Media,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
113,Gareth Emery;Annabel,Breathe,Breathe,50,False,0.507,0.513,0.216,3.2926833333,Negativo,Media,2000,Best Country Album,Breathe,Faith Hill,True
114,Sam Wills,Breathe,Breathe,60,False,0.504,0.173,0.116,1.52955,Negativo,Media,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
115,Sam Wills,Breathe,Breathe,60,False,0.504,0.173,0.116,1.52955,Negativo,Media,2000,Best Country Album,Breathe,Faith Hill,True
116,MYKOOL,Breathe,Breathe,38,False,0.492,0.857,0.383,3.5555,Negativo,Media,2000,Best Female Country Vocal Performance,Breathe,Faith Hill,True
117,MYKOOL,Breathe,Breathe,38,False,0.492,0.857,0.383,3.5555,Negativo,Media,2000,Best Country Album,Breathe,Faith Hill,True
